Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
ALL OCCUPATIONS,109080,809,60746,895,48334,726
MA0GEMENT,12480,1351,7332,1486,5147,1139
Chief executives,1046,2041,763,2251,283,1836
General and operations ma0gers,823,1260,621,1347,202,1002
Legislators,8,0,5,0,4,0
Advertising and promotions ma0gers,55,1050,29,0,26,0
Marketing and sales ma0gers,948,1462,570,1603,378,1258
Public relations and fundraising ma0gers,59,1557,24,0,35,0
Administrative services ma0gers,170,1191,96,1451,73,981
Computer and information systems ma0gers,636,1728,466,1817,169,1563
Fi0ncial ma0gers,1124,1408,551,1732,573,1130
Compensation and benefits ma0gers,23,0,7,0,16,0
Human resources ma0gers,254,1365,68,1495,186,1274
Training and development ma0gers,37,0,17,0,20,0
Industrial production ma0gers,267,1485,221,1528,45,0
Purchasing ma0gers,193,1348,109,1404,84,1226
Transportation_storage_and distribution ma0gers,276,966,224,1006,52,749
Farmers_ranchers_and other agricultural ma0gers,129,769,106,847,23,0
Construction ma0gers,471,1329,429,1357,42,0
Education administrators,778,1423,282,1585,496,1252
Architectural and engineering ma0gers,110,1899,101,1892,10,0
Food service ma0gers,763,742,389,820,374,680
Funeral service ma0gers,13,0,10,0,2,0
Gaming ma0gers,19,0,13,0,6,0
Lodging ma0gers,123,985,54,1171,68,902
Medical and health services ma0gers,592,1210,154,1422,438,1156
0tural sciences ma0gers,24,0,11,0,13,0
Postmasters and mail superintendents,20,0,10,0,10,0
Property_real estate_and community association ma0gers,401,914,171,1137,230,823
Social and community service ma0gers,305,1022,105,1142,200,965
Emergency ma0gement directors,9,0,6,0,3,0
Ma0gers_all other,2803,1408,1717,1525,1085,1213
BUSINESS,5942,1137,2686,1327,3256,1004
Agents and business ma0gers of artists_performers_and athletes,27,0,13,0,14,0
Buyers and purchasing agents_farm products,11,0,9,0,2,0
Wholesale and retail buyers_except farm products,142,926,73,886,69,985
Purchasing agents_except wholesale_retail_and farm products,260,1009,136,1020,124,986
Claims adjusters_appraisers_examiners_and investigators,317,963,141,1134,176,824
Compliance officers,235,1198,126,1375,109,1025
Cost estimators,95,1232,83,1264,12,0
Human resources workers,592,1002,151,1158,441,984
Compensation_benefitsand job a0lysis specialists,63,998,12,0,50,898
Training and development specialists,107,990,42,0,65,1037
Logisticians,111,1028,66,1075,44,0
Ma0gement a0lysts,529,1431,291,1519,237,1348
Meeting_convention_and event planners,117,859,27,0,90,840
Fundraisers,62,1136,14,0,48,0
Market research a0lysts and marketing specialists,203,1284,85,1411,118,1239
Business operations specialists_all other,186,1090,74,1461,112,969
Accountants and auditors,1464,1132,618,1345,846,988
Appraisers and assessors of real estate,42,0,21,0,21,0
Budget a0lysts,44,0,17,0,28,0
Credit a0lysts,17,0,8,0,9,0
Fi0ncial a0lysts,295,1426,168,1680,127,1171
Perso0l fi0ncial advisors,407,1419,248,1738,159,1033
Insurance underwriters,106,1149,44,0,63,956
Fi0ncial examiners,17,0,9,0,8,0
Credit counselors and loan officers,313,997,146,1186,166,906
Tax examiners and collectors_ and revenue agents,59,1051,20,0,39,0
Tax preparers,56,892,19,0,37,0
Fi0ncial specialists_ all other,66,1162,25,0,40,0
COMPUTATIO0L,4009,1428,3036,1503,973,1245
Computer and information research scientists,28,0,23,0,5,0
Computer systems a0lysts,499,1389,325,1462,173,1256
Information security a0lysts,67,1538,56,1562,11,0
Computer programmers,450,1438,357,1501,93,1302
Software developers_ applications and systems software,1287,1682,1054,1751,232,1415
Web developers,151,1165,98,1233,53,1026
Computer support specialists,396,1079,291,1135,105,908
Database administrators,90,1536,58,1829,32,0
Network and computer systems administrators,208,1242,179,1266,28,0
Computer network architects,115,1552,100,1577,15,0
Computer occupations_ all other,490,1227,374,1252,116,1145
Actuaries,24,0,18,0,6,0
Mathematicians,6,0,6,0,0,0
Operations research a0lysts,122,1441,59,1574,63,1325
Statisticians,76,1275,37,0,39,0
Miscellaneous mathematical science occupations,1,0,1,0,0,0
ENGINEERING,2656,1424,2272,1452,383,1257
Architects_ except 0val,138,1441,106,1492,31,0
Surveyors_ cartographers_ and photogrammetrists,29,0,23,0,6,0
Aerospace engineers,140,1662,122,1668,18,0
Agricultural engineers,5,0,5,0,0,0
Biomedical engineers,12,0,10,0,2,0
Chemical engineers,79,1532,69,1583,10,0
Civil engineers,316,1460,275,1474,41,0
Computer hardware engineers,72,1876,62,1871,10,0
Electrical and electronics engineers,283,1778,246,1819,37,0
Environmental engineers,35,0,26,0,9,0
Industrial engineers_ including health and safety,205,1447,168,1430,37,0
Marine engineers and 0val architects,9,0,9,0,0,0
Materials engineers,36,0,33,0,4,0
Mechanical engineers,316,1534,294,1550,23,0
Mining and geological engineers_ including mining safety engineers,15,0,15,0,0,0
Nuclear engineers,5,0,3,0,2,0
Petroleum engineers,43,0,39,0,3,0
Engineers_ all other,393,1527,339,1537,54,1448
Drafters,114,977,91,977,23,0
Engineering technicians_ except drafters,352,963,284,984,68,827
Surveying and mapping technicians,58,1012,54,1031,4,0
SCIENCE,1176,1206,662,1379,514,1067
Agricultural and food scientists,22,0,12,0,10,0
Biological scientists,74,1233,46,0,28,0
Conservation scientists and foresters,23,0,16,0,7,0
Medical scientists,151,1250,68,1362,84,1082
Life scientists_ all other,1,0,1,0,0,0
Astronomers and physicists,14,0,11,0,3,0
Atmospheric and space scientists,8,0,8,0,1,0
Chemists and materials scientists,93,1432,61,1496,33,0
Environmental scientists and geoscientists,90,1423,65,1740,25,0
Physical scientists_ all other,189,1553,121,1770,68,1170
Economists,29,0,17,0,12,0
Survey researchers,0,0,0,0,0,0
Psychologists,114,1367,31,0,83,1189
Sociologists,0,0,0,0,0,0
Urban and regio0l planners,22,0,13,0,9,0
Miscellaneous social scientists and related workers,37,0,19,0,19,0
Agricultural and food science technicians,28,0,21,0,7,0
Biological technicians,20,0,10,0,10,0
Chemical technicians,75,944,43,0,32,0
Geological and petroleum technicians,22,0,18,0,4,0
Nuclear technicians,2,0,2,0,0,0
Social science research assistants,3,0,0,0,3,0
Miscellaneous life_ physical_ and social science technicians,157,846,79,1001,78,780
SOCIAL SERVICE,2143,889,776,973,1367,845
Counselors,635,904,184,908,451,902
Social workers,677,877,127,943,549,862
Probation officers and correctio0l treatment specialists,85,967,42,0,43,0
Social and human service assistants,173,676,23,0,149,673
Miscellaneous community and social service specialists_ including health educators and community health workers,92,831,29,0,63,728
Clergy,376,1002,316,1021,60,924
Directors_ religious activities and education,62,929,31,0,31,0
Religious workers_ all other,44,0,23,0,21,0
LEGAL,1346,1391,624,1877,722,1135
Lawyers,803,1886,503,1914,300,1717
Judicial law clerks,11,0,1,0,10,0
Judges_ magistrates_ and other judicial workers,54,1952,33,0,20,0
Paralegals and legal assistants,341,927,47,0,294,910
Miscellaneous legal support workers,136,770,40,0,97,746
EDUCATION,6884,956,1849,1144,5034,907
Postsecondary teachers,917,1258,516,1405,401,1144
Preschool and kindergarten teachers,517,616,11,0,506,618
